time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.0463,1.8165,818.1644,0.0074
1,0.02,0.1054,1.8300,839.4662,0.0183
2,0.02,0.2165,1.7304,852.3490,0.0030
3,0.02,0.2308,1.7525,860.1769,0.0133
4,0.02,0.2757,1.7118,864.3870,0.0102
5,0.02,0.2612,1.7705,876.7235,0.0302
6,0.02,0.3714,1.5946,867.4240,-0.0073
7,0.02,0.4211,1.4736,837.1691,-0.0377
8,0.02,0.4593,1.4841,823.9864,-0.0010
9,0.02,0.4556,1.4688,820.9135,-0.0296
10,0.02,0.4633,1.4775,811.2583,-0.0732
11,0.02,0.4786,1.4754,799.8639,-0.0678
12,0.02,0.4531,1.5408,806.8630,-0.0734
13,0.02,0.4287,1.5802,807.0630,-0.0654
14,0.02,0.4658,1.5308,802.5501,-0.0566
15,0.02,0.5093,1.3886,782.3680,-0.0472
16,0.02,0.5258,1.3963,789.7078,-0.0523
17,0.02,0.5957,1.2513,822.3635,-0.0235
18,0.02,0.6368,1.1502,817.3354,-0.0096
19,0.02,0.6121,1.3192,812.8079,0.0055
20,0.02,0.5952,1.4598,810.8326,-0.0198
21,0.02,0.6031,1.5168,774.8688,-0.0103
22,0.02,0.6269,1.4703,752.3127,0.0098
23,0.02,0.6679,1.3553,756.2628,0.0428
24,0.02,0.6820,1.3163,747.7614,0.0439
25,0.02,0.6724,1.3379,751.7722,0.0821
26,0.02,0.6301,1.3029,759.1623,0.0492
27,0.02,0.5988,1.4187,761.2919,0.0663
28,0.02,0.6027,1.3557,776.2856,0.0497
29,0.02,0.5736,1.4413,783.3281,0.0505
