time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.04,0.1268,1.7987,829.5659,-0.0029,,,,
1,0.04,0.2366,1.7119,849.6883,-0.0124,,,,
2,0.04,0.336,1.5992,853.3386,0.0034,,,,
3,0.04,0.4078,1.529,830.418,-0.0096,,,,
4,0.04,0.486,1.4793,817.4764,-0.0121,,,,
5,0.04,0.5301,1.4171,810.4415,-0.0591,,,,
6,0.04,0.5636,1.3271,817.1918,-0.099,,,,
7,0.04,0.6273,1.2101,828.3346,-0.1295,,,,
8,0.04,0.6772,1.0752,803.082,-0.1709,,,,
9,0.04,0.7253,0.986,764.3406,-0.1627,,,,
10,0.04,0.7311,0.8993,745.5671,-0.1984,,,,
11,0.04,0.7359,0.9322,734.8684,-0.1604,,,,
12,0.04,0.7674,0.937,742.9891,-0.094,,,,
13,0.04,0.7784,0.862,778.8394,-0.0748,,,,
14,0.04,0.7769,0.8407,797.093,-0.0792,,,,
15,0.04,0.802,0.8099,793.9905,-0.0342,,,,
16,0.04,0.7622,0.8442,787.6422,-0.0236,,,,
17,0.04,0.7956,0.9239,788.7322,-0.0432,,,,
18,0.04,0.7956,0.8214,838.3971,-0.0673,,,,
19,0.04,0.7572,0.952,851.1605,-0.0565,,,,
20,0.04,0.749,0.914,852.4002,0.0001,,,,
21,0.04,0.7683,0.9196,842.6477,-0.0114,,,,
22,0.04,0.7428,0.9688,833.3223,-0.0245,,,,
23,0.04,0.7391,1.0349,845.7195,-0.0382,,,,
24,0.04,0.7644,1.0242,846.9283,-0.0028,,,,
25,0.04,0.7537,1.1465,835.2192,0.0404,,,,
26,0.04,0.7644,0.9715,837.6657,-0.0041,,,,
27,0.04,0.7899,0.8541,831.3716,0.0303,,,,
28,0.04,0.7963,0.8546,815.9875,0.052,,,,
29,0.04,0.806,0.7936,822.1871,0.0167,,,,
