time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTEwMDF8ZD0wfGU9MHx4PTB8Zj0xfGc9MHxoPTB8eT0wfGo9MHxpPTB8az01fGw9MjV8bT0xLjF8bj0xLjV8bz0xfHA9MS4xfHE9MC4yfHI9MXxzPTR8dD0wLjAwNXx1PTF8dj0xfHc9MA==
0,0.5,0.9145,0.5261,829.4606,0.004,,,
1,0.5,0.9769,0.2168,834.5357,-0.0082,,,
2,0.5,0.983,0.1855,826.3868,0.0102,,,
3,0.5,0.983,0.1855,826.3868,0.0102,,,
4,0.5,0.983,0.1855,826.3868,0.0102,,,
5,0.5,0.983,0.1855,826.3868,0.0102,,,
6,0.5,0.983,0.1855,826.3868,0.0102,,,
7,0.5,0.983,0.1855,826.3868,0.0102,,,
8,0.5,0.983,0.1855,826.3868,0.0102,,,
9,0.5,0.983,0.1855,826.3868,0.0102,,,
10,0.5,0.983,0.1855,826.3868,0.0102,,,
11,0.5,0.983,0.1855,826.3868,0.0102,,,
12,0.5,0.983,0.1855,826.3868,0.0102,,,
13,0.5,0.983,0.1855,826.3868,0.0102,,,
14,0.5,0.983,0.1855,826.3868,0.0102,,,
15,0.5,0.983,0.1855,826.3868,0.0102,,,
16,0.5,0.983,0.1855,826.3868,0.0102,,,
17,0.5,0.983,0.1855,826.3868,0.0102,,,
18,0.5,0.983,0.1855,826.3868,0.0102,,,
19,0.5,0.983,0.1855,826.3868,0.0102,,,
20,0.5,0.983,0.1855,826.3868,0.0102,,,
21,0.5,0.983,0.1855,826.3868,0.0102,,,
22,0.5,0.983,0.1855,826.3868,0.0102,,,
23,0.5,0.983,0.1855,826.3868,0.0102,,,
24,0.5,0.983,0.1855,826.3868,0.0102,,,
25,0.5,0.983,0.1855,826.3868,0.0102,,,
26,0.5,0.983,0.1855,826.3868,0.0102,,,
27,0.5,0.983,0.1855,826.3868,0.0102,,,
28,0.5,0.983,0.1855,826.3868,0.0102,,,
29,0.5,0.983,0.1855,826.3868,0.0102,,,
