time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTEwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.94,0.3528,901.5078,0.0218,,,
1,0.5,0.9772,0.2156,879.2923,0.0304,,,
2,0.5,0.9818,0.1926,864.7282,0.0613,,,
3,0.5,0.9818,0.1926,864.7282,0.0613,,,
4,0.5,0.9818,0.1926,864.7282,0.0613,,,
5,0.5,0.9818,0.1926,864.7282,0.0613,,,
6,0.5,0.9818,0.1926,864.7282,0.0613,,,
7,0.5,0.9818,0.1926,864.7282,0.0613,,,
8,0.5,0.9818,0.1926,864.7282,0.0613,,,
9,0.5,0.9736,0.2351,855.6021,0.0289,,,
10,0.5,0.9527,0.319,872.2284,-0.017,,,
11,0.5,0.9514,0.3235,897.0968,0.0138,,,
12,0.5,0.9635,0.2753,885.8409,-0.0176,,,
13,0.5,0.9713,0.2437,868.5875,-0.0416,,,
14,0.5,0.9809,0.197,848.7833,-0.0659,,,
15,0.5,0.9765,0.2205,866.7329,-0.0442,,,
16,0.5,0.9671,0.2635,875.5368,-0.0138,,,
17,0.5,0.966,0.2709,868.2834,-0.0318,,,
18,0.5,0.9575,0.3026,838.9036,-0.0242,,,
19,0.5,0.9783,0.2105,838.6594,-0.0036,,,
20,0.5,0.9796,0.204,861.9027,-0.0373,,,
21,0.5,0.9782,0.2117,853.6413,-0.0229,,,
22,0.5,0.9879,0.1563,834.5396,-0.0023,,,
23,0.5,0.9831,0.1853,830.396,0.0061,,,
24,0.5,0.9843,0.1784,856.2688,-0.0045,,,
25,0.5,0.9639,0.278,850.3116,-0.0055,,,
26,0.5,0.9519,0.3234,824.347,0.0173,,,
27,0.5,0.967,0.261,797.2153,0.0675,,,
28,0.5,0.953,0.3133,798.9471,0.0748,,,
29,0.5,0.9711,0.2423,819.6323,-0.0148,,,
