time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTExMDF8ZD0wfGU9MHx4PTB8Zj0xfGc9MHxoPTB8eT0wfGo9MHxpPTB8az01fGw9MjV8bT0xLjF8bj0xLjV8bz0xfHA9MS4xfHE9MC4yfHI9MXxzPTR8dD0wLjAwNXx1PTF8dj0xfHc9MA==
0,0.5,0.9604,0.286,820.921,-0.0054,,,
1,0.5,0.9789,0.2085,818.316,0.005,,,
2,0.5,0.981,0.1967,818.7213,-0.0062,,,
3,0.5,0.981,0.1967,818.7213,-0.0062,,,
4,0.5,0.981,0.1967,818.7213,-0.0062,,,
5,0.5,0.981,0.1967,818.7213,-0.0062,,,
6,0.5,0.981,0.1967,818.7213,-0.0062,,,
7,0.5,0.981,0.1967,818.7213,-0.0062,,,
8,0.5,0.981,0.1967,818.7213,-0.0062,,,
9,0.5,0.981,0.1967,818.7213,-0.0062,,,
10,0.5,0.981,0.1967,818.7213,-0.0062,,,
11,0.5,0.981,0.1967,818.7213,-0.0062,,,
12,0.5,0.981,0.1967,818.7213,-0.0062,,,
13,0.5,0.981,0.1967,818.7213,-0.0062,,,
14,0.5,0.981,0.1967,818.7213,-0.0062,,,
15,0.5,0.981,0.1967,818.7213,-0.0062,,,
16,0.5,0.981,0.1967,818.7213,-0.0062,,,
17,0.5,0.981,0.1967,818.7213,-0.0062,,,
18,0.5,0.981,0.1967,818.7213,-0.0062,,,
19,0.5,0.981,0.1967,818.7213,-0.0062,,,
20,0.5,0.981,0.1967,818.7213,-0.0062,,,
21,0.5,0.981,0.1967,818.7213,-0.0062,,,
22,0.5,0.981,0.1967,818.7213,-0.0062,,,
23,0.5,0.981,0.1967,818.7213,-0.0062,,,
24,0.5,0.981,0.1967,818.7213,-0.0062,,,
25,0.5,0.981,0.1967,818.7213,-0.0062,,,
26,0.5,0.981,0.1967,818.7213,-0.0062,,,
27,0.5,0.981,0.1967,818.7213,-0.0062,,,
28,0.5,0.981,0.1967,818.7213,-0.0062,,,
29,0.5,0.981,0.1967,818.7213,-0.0062,,,
