time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.50,0.9426,0.4195,817.9571,-0.0180
1,0.50,0.9812,0.1949,808.7025,0.0075
2,0.50,0.9840,0.1799,800.5609,0.0045
3,0.50,0.9805,0.1987,803.0372,-0.0083
4,0.50,0.9808,0.1969,812.0352,-0.0395
5,0.50,0.9812,0.1948,816.2297,-0.0379
6,0.50,0.9812,0.1951,811.8627,-0.0071
7,0.50,0.9842,0.1785,809.0379,0.0040
8,0.50,0.9842,0.1785,809.0379,0.0040
9,0.50,0.9842,0.1785,809.0379,0.0040
10,0.50,0.9842,0.1785,809.0379,0.0040
11,0.50,0.9842,0.1785,809.0379,0.0040
12,0.50,0.9842,0.1785,809.0379,0.0040
13,0.50,0.9842,0.1785,809.0379,0.0040
14,0.50,0.9842,0.1785,809.0379,0.0040
15,0.50,0.9842,0.1785,809.0379,0.0040
16,0.50,0.9842,0.1785,809.0379,0.0040
17,0.50,0.9842,0.1785,809.0379,0.0040
18,0.50,0.9842,0.1785,809.0379,0.0040
19,0.50,0.9842,0.1785,809.0379,0.0040
20,0.50,0.9842,0.1785,809.0379,0.0040
21,0.50,0.9842,0.1785,809.0379,0.0040
22,0.50,0.9842,0.1785,809.0379,0.0040
23,0.50,0.9842,0.1785,809.0379,0.0040
24,0.50,0.9842,0.1785,809.0379,0.0040
25,0.50,0.9842,0.1785,809.0379,0.0040
26,0.50,0.9842,0.1785,809.0379,0.0040
27,0.50,0.9842,0.1785,809.0379,0.0040
28,0.50,0.9842,0.1785,809.0379,0.0040
29,0.50,0.9842,0.1785,809.0379,0.0040
