time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTIwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.8598,0.6084,826.2604,0.059,,,
1,0.5,0.9068,0.4533,819.2072,0.0328,,,
2,0.5,0.9083,0.449,819.4977,0.0317,,,
3,0.5,0.9083,0.449,819.4977,0.0317,,,
4,0.5,0.9083,0.449,819.4977,0.0317,,,
5,0.5,0.9083,0.449,819.4977,0.0317,,,
6,0.5,0.9083,0.449,819.4977,0.0317,,,
7,0.5,0.9083,0.449,819.4977,0.0317,,,
8,0.5,0.9083,0.449,819.4977,0.0317,,,
9,0.5,0.9083,0.449,819.4977,0.0317,,,
10,0.5,0.9083,0.449,819.4977,0.0317,,,
11,0.5,0.9083,0.449,819.4977,0.0317,,,
12,0.5,0.9083,0.449,819.4977,0.0317,,,
13,0.5,0.9083,0.449,819.4977,0.0317,,,
14,0.5,0.9083,0.449,819.4977,0.0317,,,
15,0.5,0.9083,0.449,819.4977,0.0317,,,
16,0.5,0.9083,0.449,819.4977,0.0317,,,
17,0.5,0.9083,0.449,819.4977,0.0317,,,
18,0.5,0.9083,0.449,819.4977,0.0317,,,
19,0.5,0.9083,0.449,819.4977,0.0317,,,
20,0.5,0.9083,0.449,819.4977,0.0317,,,
21,0.5,0.9083,0.449,819.4977,0.0317,,,
22,0.5,0.9083,0.449,819.4977,0.0317,,,
23,0.5,0.9083,0.449,819.4977,0.0317,,,
24,0.5,0.9083,0.449,819.4977,0.0317,,,
25,0.5,0.9083,0.449,819.4977,0.0317,,,
26,0.5,0.9083,0.449,819.4977,0.0317,,,
27,0.5,0.9083,0.449,819.4977,0.0317,,,
28,0.5,0.9083,0.449,819.4977,0.0317,,,
29,0.5,0.9083,0.449,819.4977,0.0317,,,
