time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTMwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9151,0.5152,809.2533,-0.0154,,,
1,0.5,0.94,0.3681,823.9997,-0.0249,,,
2,0.5,0.9454,0.3446,819.0721,-0.0493,,,
3,0.5,0.9454,0.3446,819.0721,-0.0493,,,
4,0.5,0.9454,0.3446,819.0721,-0.0493,,,
5,0.5,0.9454,0.3446,819.0721,-0.0493,,,
6,0.5,0.9454,0.3446,819.0721,-0.0493,,,
7,0.5,0.9454,0.3446,819.0721,-0.0493,,,
8,0.5,0.9454,0.3446,819.0721,-0.0493,,,
9,0.5,0.9454,0.3446,819.0721,-0.0493,,,
10,0.5,0.9454,0.3446,819.0721,-0.0493,,,
11,0.5,0.9454,0.3446,819.0721,-0.0493,,,
12,0.5,0.9454,0.3446,819.0721,-0.0493,,,
13,0.5,0.9454,0.3446,819.0721,-0.0493,,,
14,0.5,0.9454,0.3446,819.0721,-0.0493,,,
15,0.5,0.9454,0.3446,819.0721,-0.0493,,,
16,0.5,0.9454,0.3446,819.0721,-0.0493,,,
17,0.5,0.9454,0.3446,819.0721,-0.0493,,,
18,0.5,0.9454,0.3446,819.0721,-0.0493,,,
19,0.5,0.9454,0.3446,819.0721,-0.0493,,,
20,0.5,0.9454,0.3446,819.0721,-0.0493,,,
21,0.5,0.9454,0.3446,819.0721,-0.0493,,,
22,0.5,0.9454,0.3446,819.0721,-0.0493,,,
23,0.5,0.9454,0.3446,819.0721,-0.0493,,,
24,0.5,0.9454,0.3446,819.0721,-0.0493,,,
25,0.5,0.9454,0.3446,819.0721,-0.0493,,,
26,0.5,0.9454,0.3446,819.0721,-0.0493,,,
27,0.5,0.9454,0.3446,819.0721,-0.0493,,,
28,0.5,0.9454,0.3446,819.0721,-0.0493,,,
29,0.5,0.9454,0.3446,819.0721,-0.0493,,,
