time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTQwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9066,0.5652,826.6193,-0.0579,,,
1,0.5,0.954,0.3135,832.5712,-0.0553,,,
2,0.5,0.9614,0.2857,836.4675,-0.0533,,,
3,0.5,0.9614,0.2857,836.4675,-0.0533,,,
4,0.5,0.9614,0.2857,836.4675,-0.0533,,,
5,0.5,0.9614,0.2857,836.4675,-0.0533,,,
6,0.5,0.9614,0.2857,836.4675,-0.0533,,,
7,0.5,0.9614,0.2857,836.4675,-0.0533,,,
8,0.5,0.9614,0.2857,836.4675,-0.0533,,,
9,0.5,0.9614,0.2857,836.4675,-0.0533,,,
10,0.5,0.9614,0.2857,836.4675,-0.0533,,,
11,0.5,0.9614,0.2857,836.4675,-0.0533,,,
12,0.5,0.9614,0.2857,836.4675,-0.0533,,,
13,0.5,0.9614,0.2857,836.4675,-0.0533,,,
14,0.5,0.9614,0.2857,836.4675,-0.0533,,,
15,0.5,0.9614,0.2857,836.4675,-0.0533,,,
16,0.5,0.9614,0.2857,836.4675,-0.0533,,,
17,0.5,0.9614,0.2857,836.4675,-0.0533,,,
18,0.5,0.9614,0.2857,836.4675,-0.0533,,,
19,0.5,0.9614,0.2857,836.4675,-0.0533,,,
20,0.5,0.9614,0.2857,836.4675,-0.0533,,,
21,0.5,0.9614,0.2857,836.4675,-0.0533,,,
22,0.5,0.9614,0.2857,836.4675,-0.0533,,,
23,0.5,0.9614,0.2857,836.4675,-0.0533,,,
24,0.5,0.9614,0.2857,836.4675,-0.0533,,,
25,0.5,0.9614,0.2857,836.4675,-0.0533,,,
26,0.5,0.9614,0.2857,836.4675,-0.0533,,,
27,0.5,0.9614,0.2857,836.4675,-0.0533,,,
28,0.5,0.9614,0.2857,836.4675,-0.0533,,,
29,0.5,0.9614,0.2857,836.4675,-0.0533,,,
