time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTUwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9001,0.6057,811.923,-0.0176,,,
1,0.5,0.9097,0.5734,810.3037,-0.0051,,,
2,0.5,0.9097,0.5734,810.3037,-0.0051,,,
3,0.5,0.9097,0.5734,810.3037,-0.0051,,,
4,0.5,0.9097,0.5734,810.3037,-0.0051,,,
5,0.5,0.9097,0.5734,810.3037,-0.0051,,,
6,0.5,0.9097,0.5734,810.3037,-0.0051,,,
7,0.5,0.9097,0.5734,810.3037,-0.0051,,,
8,0.5,0.9097,0.5734,810.3037,-0.0051,,,
9,0.5,0.9097,0.5734,810.3037,-0.0051,,,
10,0.5,0.9097,0.5734,810.3037,-0.0051,,,
11,0.5,0.9097,0.5734,810.3037,-0.0051,,,
12,0.5,0.9097,0.5734,810.3037,-0.0051,,,
13,0.5,0.9097,0.5734,810.3037,-0.0051,,,
14,0.5,0.9097,0.5734,810.3037,-0.0051,,,
15,0.5,0.9097,0.5734,810.3037,-0.0051,,,
16,0.5,0.9097,0.5734,810.3037,-0.0051,,,
17,0.5,0.9097,0.5734,810.3037,-0.0051,,,
18,0.5,0.9097,0.5734,810.3037,-0.0051,,,
19,0.5,0.9097,0.5734,810.3037,-0.0051,,,
20,0.5,0.9097,0.5734,810.3037,-0.0051,,,
21,0.5,0.9097,0.5734,810.3037,-0.0051,,,
22,0.5,0.9097,0.5734,810.3037,-0.0051,,,
23,0.5,0.9097,0.5734,810.3037,-0.0051,,,
24,0.5,0.9097,0.5734,810.3037,-0.0051,,,
25,0.5,0.9097,0.5734,810.3037,-0.0051,,,
26,0.5,0.9097,0.5734,810.3037,-0.0051,,,
27,0.5,0.9097,0.5734,810.3037,-0.0051,,,
28,0.5,0.9097,0.5734,810.3037,-0.0051,,,
29,0.5,0.9097,0.5734,810.3037,-0.0051,,,
