time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTYwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9197,0.4862,812.4755,-0.0085,,,
1,0.5,0.9567,0.3317,803.1973,-0.019,,,
2,0.5,0.9567,0.3317,803.1973,-0.019,,,
3,0.5,0.9567,0.3317,803.1973,-0.019,,,
4,0.5,0.9567,0.3317,803.1973,-0.019,,,
5,0.5,0.9567,0.3317,803.1973,-0.019,,,
6,0.5,0.9567,0.3317,803.1973,-0.019,,,
7,0.5,0.9567,0.3317,803.1973,-0.019,,,
8,0.5,0.9567,0.3317,803.1973,-0.019,,,
9,0.5,0.9567,0.3317,803.1973,-0.019,,,
10,0.5,0.9567,0.3317,803.1973,-0.019,,,
11,0.5,0.9567,0.3317,803.1973,-0.019,,,
12,0.5,0.9567,0.3317,803.1973,-0.019,,,
13,0.5,0.9567,0.3317,803.1973,-0.019,,,
14,0.5,0.9567,0.3317,803.1973,-0.019,,,
15,0.5,0.9567,0.3317,803.1973,-0.019,,,
16,0.5,0.9567,0.3317,803.1973,-0.019,,,
17,0.5,0.9567,0.3317,803.1973,-0.019,,,
18,0.5,0.9567,0.3317,803.1973,-0.019,,,
19,0.5,0.9567,0.3317,803.1973,-0.019,,,
20,0.5,0.9567,0.3317,803.1973,-0.019,,,
21,0.5,0.9567,0.3317,803.1973,-0.019,,,
22,0.5,0.9567,0.3317,803.1973,-0.019,,,
23,0.5,0.9567,0.3317,803.1973,-0.019,,,
24,0.5,0.9567,0.3317,803.1973,-0.019,,,
25,0.5,0.9567,0.3317,803.1973,-0.019,,,
26,0.5,0.9567,0.3317,803.1973,-0.019,,,
27,0.5,0.9567,0.3317,803.1973,-0.019,,,
28,0.5,0.9567,0.3317,803.1973,-0.019,,,
29,0.5,0.9567,0.3317,803.1973,-0.019,,,
