time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTcwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9345,0.3722,839.7252,0.0202,,,
1,0.5,0.9456,0.3379,841.4555,0.0255,,,
2,0.5,0.9456,0.3379,841.4555,0.0255,,,
3,0.5,0.9456,0.3379,841.4555,0.0255,,,
4,0.5,0.9456,0.3379,841.4555,0.0255,,,
5,0.5,0.9456,0.3379,841.4555,0.0255,,,
6,0.5,0.9456,0.3379,841.4555,0.0255,,,
7,0.5,0.9456,0.3379,841.4555,0.0255,,,
8,0.5,0.9456,0.3379,841.4555,0.0255,,,
9,0.5,0.9456,0.3379,841.4555,0.0255,,,
10,0.5,0.9456,0.3379,841.4555,0.0255,,,
11,0.5,0.9456,0.3379,841.4555,0.0255,,,
12,0.5,0.9456,0.3379,841.4555,0.0255,,,
13,0.5,0.9456,0.3379,841.4555,0.0255,,,
14,0.5,0.9456,0.3379,841.4555,0.0255,,,
15,0.5,0.9456,0.3379,841.4555,0.0255,,,
16,0.5,0.9456,0.3379,841.4555,0.0255,,,
17,0.5,0.9456,0.3379,841.4555,0.0255,,,
18,0.5,0.9456,0.3379,841.4555,0.0255,,,
19,0.5,0.9456,0.3379,841.4555,0.0255,,,
20,0.5,0.9456,0.3379,841.4555,0.0255,,,
21,0.5,0.9456,0.3379,841.4555,0.0255,,,
22,0.5,0.9456,0.3379,841.4555,0.0255,,,
23,0.5,0.9456,0.3379,841.4555,0.0255,,,
24,0.5,0.9456,0.3379,841.4555,0.0255,,,
25,0.5,0.9456,0.3379,841.4555,0.0255,,,
26,0.5,0.9456,0.3379,841.4555,0.0255,,,
27,0.5,0.9456,0.3379,841.4555,0.0255,,,
28,0.5,0.9456,0.3379,841.4555,0.0255,,,
29,0.5,0.9456,0.3379,841.4555,0.0255,,,
