time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTgwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.9398,0.4477,830.5883,0.0122,,,
1,0.5,0.972,0.3269,832.1179,0.0249,,,
2,0.5,0.972,0.3269,832.1179,0.0249,,,
3,0.5,0.972,0.3269,832.1179,0.0249,,,
4,0.5,0.972,0.3269,832.1179,0.0249,,,
5,0.5,0.972,0.3269,832.1179,0.0249,,,
6,0.5,0.972,0.3269,832.1179,0.0249,,,
7,0.5,0.972,0.3269,832.1179,0.0249,,,
8,0.5,0.972,0.3269,832.1179,0.0249,,,
9,0.5,0.972,0.3269,832.1179,0.0249,,,
10,0.5,0.972,0.3269,832.1179,0.0249,,,
11,0.5,0.972,0.3269,832.1179,0.0249,,,
12,0.5,0.972,0.3269,832.1179,0.0249,,,
13,0.5,0.972,0.3269,832.1179,0.0249,,,
14,0.5,0.972,0.3269,832.1179,0.0249,,,
15,0.5,0.972,0.3269,832.1179,0.0249,,,
16,0.5,0.972,0.3269,832.1179,0.0249,,,
17,0.5,0.972,0.3269,832.1179,0.0249,,,
18,0.5,0.972,0.3269,832.1179,0.0249,,,
19,0.5,0.972,0.3269,832.1179,0.0249,,,
20,0.5,0.972,0.3269,832.1179,0.0249,,,
21,0.5,0.972,0.3269,832.1179,0.0249,,,
22,0.5,0.972,0.3269,832.1179,0.0249,,,
23,0.5,0.972,0.3269,832.1179,0.0249,,,
24,0.5,0.972,0.3269,832.1179,0.0249,,,
25,0.5,0.972,0.3269,832.1179,0.0249,,,
26,0.5,0.972,0.3269,832.1179,0.0249,,,
27,0.5,0.972,0.3269,832.1179,0.0249,,,
28,0.5,0.972,0.3269,832.1179,0.0249,,,
29,0.5,0.972,0.3269,832.1179,0.0249,,,
