time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MXxjPTkwMXxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.5,0.903,0.5914,839.2552,-0.0268,,,
1,0.5,0.9214,0.5126,840.1246,-0.0151,,,
2,0.5,0.9214,0.5126,840.1246,-0.0151,,,
3,0.5,0.9214,0.5126,840.1246,-0.0151,,,
4,0.5,0.9214,0.5126,840.1246,-0.0151,,,
5,0.5,0.9214,0.5126,840.1246,-0.0151,,,
6,0.5,0.9214,0.5126,840.1246,-0.0151,,,
7,0.5,0.9214,0.5126,840.1246,-0.0151,,,
8,0.5,0.9214,0.5126,840.1246,-0.0151,,,
9,0.5,0.9214,0.5126,840.1246,-0.0151,,,
10,0.5,0.9214,0.5126,840.1246,-0.0151,,,
11,0.5,0.9214,0.5126,840.1246,-0.0151,,,
12,0.5,0.9214,0.5126,840.1246,-0.0151,,,
13,0.5,0.9214,0.5126,840.1246,-0.0151,,,
14,0.5,0.9214,0.5126,840.1246,-0.0151,,,
15,0.5,0.9214,0.5126,840.1246,-0.0151,,,
16,0.5,0.9214,0.5126,840.1246,-0.0151,,,
17,0.5,0.9214,0.5126,840.1246,-0.0151,,,
18,0.5,0.9214,0.5126,840.1246,-0.0151,,,
19,0.5,0.9214,0.5126,840.1246,-0.0151,,,
20,0.5,0.9214,0.5126,840.1246,-0.0151,,,
21,0.5,0.9214,0.5126,840.1246,-0.0151,,,
22,0.5,0.9214,0.5126,840.1246,-0.0151,,,
23,0.5,0.9214,0.5126,840.1246,-0.0151,,,
24,0.5,0.9214,0.5126,840.1246,-0.0151,,,
25,0.5,0.9214,0.5126,840.1246,-0.0151,,,
26,0.5,0.9214,0.5126,840.1246,-0.0151,,,
27,0.5,0.9214,0.5126,840.1246,-0.0151,,,
28,0.5,0.9214,0.5126,840.1246,-0.0151,,,
29,0.5,0.9214,0.5126,840.1246,-0.0151,,,
