time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.01,0.0681,1.741,796.4646,-0.064,,,,
1,0.01,0.0662,1.8053,799.7009,-0.0213,,,,
2,0.01,0.1146,1.74,813.4566,-0.0816,,,,
3,0.01,0.1209,1.7329,847.8417,-0.0861,,,,
4,0.01,0.0663,1.7752,860.2068,-0.0452,,,,
5,0.01,0.0843,1.8603,868.267,0.0313,,,,
6,0.01,0.1203,1.8452,880.2295,0.0342,,,,
7,0.01,0.1674,1.7848,865.9503,-0.006,,,,
8,0.01,0.2274,1.8253,853.681,0.0423,,,,
9,0.01,0.297,1.856,837.7566,0.1059,,,,
10,0.01,0.3119,1.8585,830.1058,0.1404,,,,
11,0.01,0.3601,1.8292,793.8463,0.1752,,,,
12,0.01,0.384,1.7832,765.6022,0.1542,,,,
13,0.01,0.3958,1.8883,755.8805,0.154,,,,
14,0.01,0.4116,1.8379,766.5219,0.1582,,,,
15,0.01,0.4684,1.7868,794.7997,0.2418,,,,
16,0.01,0.4547,1.8236,836.2858,0.2546,,,,
17,0.01,0.4723,1.7864,873.9324,0.2643,,,,
18,0.01,0.5109,1.7184,875.1905,0.2496,,,,
19,0.01,0.4976,1.6432,887.8744,0.2161,,,,
20,0.01,0.5135,1.6187,883.4623,0.1501,,,,
21,0.01,0.5327,1.5561,844.3358,0.1503,,,,
22,0.01,0.503,1.5733,791.0247,0.1334,,,,
23,0.01,0.491,1.6078,754.641,0.106,,,,
24,0.01,0.4836,1.6264,718.1472,0.1227,,,,
25,0.01,0.4555,1.696,716.144,0.1447,,,,
26,0.01,0.4653,1.8757,734.02,0.2375,,,,
27,0.01,0.4924,1.7177,764.7823,0.2604,,,,
28,0.01,0.5085,1.6408,779.1204,0.2473,,,,
29,0.01,0.5503,1.5805,804.454,0.2155,,,,
