time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,,YT0xfGI9MXxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.02,0.0142,1.8066,844.0573,0.0038,,,,
1,0.02,0.0665,1.7584,844.4508,-0.0047,,,,
2,0.02,0.0868,1.7365,836.92,-0.0367,,,,
3,0.02,0.0778,1.8087,822.0328,0.0096,,,,
4,0.02,0.1627,1.8088,793.3842,0.0072,,,,
5,0.02,0.2078,1.8126,792.257,0.0078,,,,
6,0.02,0.2272,1.7479,806.5058,-0.0049,,,,
7,0.02,0.307,1.7602,822.1616,0.0224,,,,
8,0.02,0.269,1.7349,850.9677,-0.0229,,,,
9,0.02,0.3143,1.6009,850.9676,-0.0772,,,,
10,0.02,0.3137,1.588,851.665,-0.0973,,,,
11,0.02,0.343,1.5673,859.4497,-0.1001,,,,
12,0.02,0.3739,1.5488,847.3889,-0.098,,,,
13,0.02,0.3987,1.5637,830.1404,-0.0784,,,,
14,0.02,0.4311,1.5302,813.3173,-0.0682,,,,
15,0.02,0.4527,1.3899,794.0021,-0.1096,,,,
16,0.02,0.4701,1.3749,772.3518,-0.1361,,,,
17,0.02,0.4825,1.4155,774.6644,-0.1773,,,,
18,0.02,0.478,1.4236,787.9597,-0.1494,,,,
19,0.02,0.468,1.3762,806.4233,-0.1539,,,,
20,0.02,0.4868,1.3737,808.9671,-0.1123,,,,
21,0.02,0.503,1.391,815.975,-0.0802,,,,
22,0.02,0.5445,1.3599,812.8164,-0.0356,,,,
23,0.02,0.5421,1.348,791.5695,-0.0398,,,,
24,0.02,0.5493,1.3471,797.8157,-0.0029,,,,
25,0.02,0.5838,1.3464,820.5987,-0.0147,,,,
26,0.02,0.6206,1.3988,850.0764,-0.0095,,,,
27,0.02,0.6177,1.3565,874.0356,-0.0119,,,,
28,0.02,0.6273,1.2521,903.3153,0.0329,,,,
29,0.02,0.6105,1.2776,908.0191,0.0274,,,,
