time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.0992,1.8838,800.4502,0.0772
1,0.02,0.1350,1.9134,810.8517,0.1001
2,0.02,0.1907,1.9485,824.2941,0.1269
3,0.02,0.1722,1.8199,827.6461,0.0387
4,0.02,0.1869,1.7903,837.4404,0.0062
5,0.02,0.2307,1.7207,837.7315,0.0008
6,0.02,0.2966,1.6105,820.8456,-0.0583
7,0.02,0.3619,1.5924,822.6479,-0.0437
8,0.02,0.3894,1.5499,853.5845,-0.0531
9,0.02,0.4522,1.4721,876.5095,-0.0152
10,0.02,0.4740,1.4347,886.7283,-0.0498
11,0.02,0.4841,1.5166,879.5566,-0.0349
12,0.02,0.5358,1.3342,853.0643,0.0026
13,0.02,0.5734,1.2231,860.8457,-0.0218
14,0.02,0.5688,1.2932,879.0030,-0.0128
15,0.02,0.6018,1.2652,892.8487,0.0435
16,0.02,0.6356,1.2248,911.2301,0.0154
17,0.02,0.6286,1.1303,906.6732,-0.0001
18,0.02,0.6611,1.1551,877.4139,-0.0113
19,0.02,0.7099,1.0446,863.6748,-0.0267
20,0.02,0.6973,1.0946,846.7954,-0.0367
21,0.02,0.6791,1.0761,829.2158,-0.0858
22,0.02,0.6433,1.1025,832.7681,-0.0527
23,0.02,0.6184,1.2285,822.7657,-0.0384
24,0.02,0.6765,1.1319,809.9196,-0.0537
25,0.02,0.6978,1.0478,803.5949,-0.0455
26,0.02,0.6781,1.1502,824.6812,0.0166
27,0.02,0.6694,1.2958,807.5706,0.0216
28,0.02,0.7117,1.0706,787.9197,0.0135
29,0.02,0.6670,1.1991,761.4283,0.0140
