time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTB8dz0w
0,0.5,0.9155,0.4256,825.9651,-0.0358,,,
1,0.5,0.9542,0.3121,830.3718,0.0225,,,
2,0.5,0.975,0.226,841.8311,0.0083,,,
3,0.5,0.9777,0.213,847.0801,0.0423,,,
4,0.5,0.9817,0.1923,831.7679,0.0187,,,
5,0.5,0.9771,0.2167,828.4302,-0.0205,,,
6,0.5,0.9722,0.2403,840.0334,0.0286,,,
7,0.5,0.9746,0.2275,837.0864,0.0237,,,
8,0.5,0.9733,0.2332,833.1432,0.0111,,,
9,0.5,0.9723,0.238,830.5449,-0.0068,,,
10,0.5,0.9702,0.2477,829.1894,-0.033,,,
11,0.5,0.9728,0.2358,835.8643,-0.022,,,
12,0.5,0.9784,0.2092,831.4194,-0.0199,,,
13,0.5,0.9791,0.2073,824.4696,-0.0093,,,
14,0.5,0.981,0.1965,832.086,-0.0118,,,
15,0.5,0.9788,0.2083,835.2891,0.0029,,,
16,0.5,0.9815,0.194,834.1812,0.0071,,,
17,0.5,0.9815,0.194,834.1812,0.0071,,,
18,0.5,0.9815,0.194,834.1812,0.0071,,,
19,0.5,0.9815,0.194,834.1812,0.0071,,,
20,0.5,0.9815,0.194,834.1812,0.0071,,,
21,0.5,0.9815,0.194,834.1812,0.0071,,,
22,0.5,0.9815,0.194,834.1812,0.0071,,,
23,0.5,0.9815,0.194,834.1812,0.0071,,,
24,0.5,0.9815,0.194,834.1812,0.0071,,,
25,0.5,0.9815,0.194,834.1812,0.0071,,,
26,0.5,0.9815,0.194,834.1812,0.0071,,,
27,0.5,0.9815,0.194,834.1812,0.0071,,,
28,0.5,0.9815,0.194,834.1812,0.0071,,,
29,0.5,0.9815,0.194,834.1812,0.0071,,,
