time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.6,0.9452,0.3469,830.5457,0.0599,,,
1,0.6,0.9663,0.2621,820.1205,0.0247,,,
2,0.6,0.9747,0.229,822.66,-0.0073,,,
3,0.6,0.9799,0.2029,823.5734,-0.0288,,,
4,0.6,0.9788,0.2082,824.0737,-0.016,,,
5,0.6,0.975,0.2266,819.2877,-0.0157,,,
6,0.6,0.9773,0.2148,808.6736,-0.044,,,
7,0.6,0.9811,0.1966,807.7603,-0.0223,,,
8,0.6,0.9788,0.2084,812.034,-0.0165,,,
9,0.6,0.9747,0.2284,814.6392,-0.0216,,,
10,0.6,0.9825,0.1883,801.2693,0.0095,,,
11,0.6,0.9816,0.1938,806.2006,0.0224,,,
12,0.6,0.9826,0.1892,806.7805,-0.0234,,,
13,0.6,0.976,0.2228,810.3653,-0.019,,,
14,0.6,0.976,0.2228,810.3653,-0.019,,,
15,0.6,0.976,0.2228,810.3653,-0.019,,,
16,0.6,0.976,0.2228,810.3653,-0.019,,,
17,0.6,0.976,0.2228,810.3653,-0.019,,,
18,0.6,0.976,0.2228,810.3653,-0.019,,,
19,0.6,0.976,0.2228,810.3653,-0.019,,,
20,0.6,0.976,0.2228,810.3653,-0.019,,,
21,0.6,0.976,0.2228,810.3653,-0.019,,,
22,0.6,0.976,0.2228,810.3653,-0.019,,,
23,0.6,0.976,0.2228,810.3653,-0.019,,,
24,0.6,0.9747,0.2276,816.5437,-0.0219,,,
25,0.6,0.9795,0.2057,808.857,0.0044,,,
26,0.6,0.9876,0.1582,799.4834,0.0043,,,
27,0.6,0.9787,0.2093,804.7422,-0.0028,,,
28,0.6,0.978,0.2116,803.6165,-0.0102,,,
29,0.6,0.9755,0.2256,803.8025,-0.004,,,
