time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.02,0.0971,1.9027,826.9201,0.0832
1,0.02,0.1119,1.9093,839.8725,0.1000
2,0.02,0.1541,1.9317,850.5127,0.0987
3,0.02,0.2132,1.9438,839.4254,0.1354
4,0.02,0.2556,1.9417,841.0046,0.1366
5,0.02,0.2442,1.9673,847.7063,0.1372
6,0.02,0.2590,1.9693,830.2229,0.1634
7,0.02,0.2988,1.9325,804.1011,0.1950
8,0.02,0.3444,1.9134,785.4106,0.2132
9,0.02,0.3778,1.9295,766.2553,0.2239
10,0.02,0.3855,1.9632,780.7556,0.2616
11,0.02,0.4153,1.9049,787.3525,0.2684
12,0.02,0.4345,1.8228,787.7205,0.2241
13,0.02,0.4526,1.8510,806.3017,0.2255
14,0.02,0.5142,1.7372,829.8459,0.2216
15,0.02,0.5207,1.6859,847.1838,0.1860
16,0.02,0.5827,1.6136,860.4556,0.2034
17,0.02,0.5744,1.6782,876.1096,0.2121
18,0.02,0.6248,1.5001,909.6002,0.2669
19,0.02,0.6924,1.5391,907.6555,0.3262
20,0.02,0.7275,1.4477,907.1695,0.3609
21,0.02,0.7576,1.3930,909.9724,0.3694
22,0.02,0.7048,1.2986,869.4615,0.2804
23,0.02,0.7058,1.3592,841.3618,0.2670
24,0.02,0.6987,1.3935,825.6994,0.2697
25,0.02,0.6594,1.3674,837.1810,0.2122
26,0.02,0.6300,1.5186,842.5134,0.2211
27,0.02,0.6391,1.6036,840.4242,0.2823
28,0.02,0.6360,1.7069,842.0312,0.3268
29,0.02,0.7226,1.2590,848.9680,0.3227
