time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.03,0.2743,1.6718,822.9513,0.0134,,,,
1,0.03,0.395,1.6071,822.2429,0.0228,,,,
2,0.03,0.4881,1.5374,821.0675,0.0349,,,,
3,0.03,0.4981,1.5878,826.7855,0.0355,,,,
4,0.03,0.5413,1.5,811.9502,0.028,,,,
5,0.03,0.5875,1.4165,821.3465,0.0704,,,,
6,0.03,0.6189,1.3964,832.5425,0.0946,,,,
7,0.03,0.6636,1.3561,836.1743,0.0591,,,,
8,0.03,0.685,1.2539,825.5361,0.1174,,,,
9,0.03,0.7074,1.2155,816.4968,0.1257,,,,
10,0.03,0.7314,1.0533,808.4526,0.0941,,,,
11,0.03,0.7145,1.1598,782.1865,0.0339,,,,
12,0.03,0.7197,1.0755,769.6169,0.0413,,,,
13,0.03,0.7412,0.9028,765.4915,0.0091,,,,
14,0.03,0.7088,0.9999,763.6598,0.0187,,,,
15,0.03,0.6796,1.1769,766.7458,0.0222,,,,
16,0.03,0.7176,1.1462,785.5913,0.0297,,,,
17,0.03,0.7288,1.1725,778.3255,0.0488,,,,
18,0.03,0.746,1.0024,778.6579,0.0592,,,,
19,0.03,0.7616,0.9223,791.7082,0.0128,,,,
20,0.03,0.7482,0.9958,807.2954,-0.0458,,,,
21,0.03,0.7507,0.9249,827.3972,-0.0267,,,,
22,0.03,0.7271,1.071,819.6578,-0.0113,,,,
23,0.03,0.7056,1.1299,800.1774,0.0037,,,,
24,0.03,0.7153,1.1366,806.9497,0.032,,,,
25,0.03,0.7018,1.1607,808.4869,0.0128,,,,
26,0.03,0.6927,1.1251,840.2365,0.0446,,,,
27,0.03,0.7044,1.0367,869.0468,0.042,,,,
28,0.03,0.7113,1.0466,861.0242,0.0629,,,,
29,0.03,0.6979,1.1543,836.128,0.1042,,,,
