time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTF8dz0w
0,0.1,0.2063,1.6557,807.9466,-0.0827,,,
1,0.1,0.4191,1.4397,826.0577,-0.1494,,,
2,0.1,0.5376,1.265,840.3014,-0.1646,,,
3,0.1,0.7123,0.9697,851.1039,-0.2019,,,
4,0.1,0.8159,0.7779,834.7345,-0.1573,,,
5,0.1,0.8219,0.7772,841.8483,-0.1342,,,
6,0.1,0.8737,0.5332,859.4357,-0.1192,,,
7,0.1,0.8815,0.5125,848.0202,-0.1378,,,
8,0.1,0.877,0.6125,827.2442,-0.1299,,,
9,0.1,0.8925,0.593,808.7389,-0.1306,,,
10,0.1,0.8747,0.6187,800.1404,-0.0897,,,
11,0.1,0.885,0.5661,802.646,-0.1358,,,
12,0.1,0.8963,0.5276,803.8932,-0.1583,,,
13,0.1,0.8819,0.515,799.98,-0.1021,,,
14,0.1,0.8956,0.4739,794.579,-0.0934,,,
15,0.1,0.8945,0.4812,808.9806,-0.0744,,,
16,0.1,0.8971,0.4724,816.6178,-0.0536,,,
17,0.1,0.9082,0.4443,829.5155,-0.0144,,,
18,0.1,0.9033,0.4528,813.3507,0.0188,,,
19,0.1,0.913,0.4297,805.4262,0.041,,,
20,0.1,0.898,0.4669,811.3902,0.0199,,,
21,0.1,0.8996,0.6003,816.9005,-0.0184,,,
22,0.1,0.9078,0.4442,821.0064,-0.014,,,
23,0.1,0.9017,0.5692,817.7395,-0.0438,,,
24,0.1,0.8879,0.6143,803.7629,-0.049,,,
25,0.1,0.8997,0.5121,791.415,-0.0736,,,
26,0.1,0.8973,0.5192,783.7415,-0.0642,,,
27,0.1,0.8826,0.5168,787.9733,-0.0855,,,
28,0.1,0.8901,0.4898,782.9218,-0.0849,,,
29,0.1,0.905,0.4508,765.6911,-0.0516,,,
