time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current,,,YT0xfGI9MHxjPTUwMHxkPTB8ZT0wfHg9MHxmPTF8Zz0wfGg9MHx5PTB8aj0wfGk9MHxrPTV8bD0yNXxtPTEuMXxuPTEuNXxvPTF8cD0xLjF8cT0wLjJ8cj0xfHM9NHx0PTAuMDA1fHU9MXx2PTB8dz0w
0,0.3,0.7352,0.997,817.7241,0.0616,,,
1,0.3,0.8215,0.8649,812.3273,0.0485,,,
2,0.3,0.8854,0.6732,813.9152,0.0406,,,
3,0.3,0.9478,0.4144,807.067,0.0142,,,
4,0.3,0.9551,0.3052,797.9304,-0.0183,,,
5,0.3,0.9547,0.3065,795.2452,-0.0211,,,
6,0.3,0.9615,0.2803,807.6804,0.0011,,,
7,0.3,0.9626,0.277,812.2918,0.0257,,,
8,0.3,0.9626,0.277,812.2918,0.0257,,,
9,0.3,0.9626,0.277,812.2918,0.0257,,,
10,0.3,0.9626,0.277,812.2918,0.0257,,,
11,0.3,0.9626,0.277,812.2918,0.0257,,,
12,0.3,0.9626,0.277,812.2918,0.0257,,,
13,0.3,0.9626,0.277,812.2918,0.0257,,,
14,0.3,0.9626,0.277,812.2918,0.0257,,,
15,0.3,0.9626,0.277,812.2918,0.0257,,,
16,0.3,0.9626,0.277,812.2918,0.0257,,,
17,0.3,0.9626,0.277,812.2918,0.0257,,,
18,0.3,0.9626,0.277,812.2918,0.0257,,,
19,0.3,0.9626,0.277,812.2918,0.0257,,,
20,0.3,0.9626,0.277,812.2918,0.0257,,,
21,0.3,0.9626,0.277,812.2918,0.0257,,,
22,0.3,0.9626,0.277,812.2918,0.0257,,,
23,0.3,0.9626,0.277,812.2918,0.0257,,,
24,0.3,0.9626,0.277,812.2918,0.0257,,,
25,0.3,0.9626,0.277,812.2918,0.0257,,,
26,0.3,0.9626,0.277,812.2918,0.0257,,,
27,0.3,0.9626,0.277,812.2918,0.0257,,,
28,0.3,0.9664,0.2635,824.9784,0.0302,,,
29,0.3,0.9383,0.3607,821.8685,0.0109,,,
