time,current_velocity,avg_alignment,direction_std_dev,avg_pair_distance,alignment_with_current
0,0.80,0.9559,0.3045,820.8541,0.0076
1,0.80,0.9771,0.2166,833.7673,0.0235
2,0.80,0.9707,0.2463,839.3772,0.0013
3,0.80,0.9771,0.2167,826.9631,0.0139
4,0.80,0.9856,0.1710,812.2865,0.0280
5,0.80,0.9811,0.1962,815.2899,0.0169
6,0.80,0.9839,0.1836,825.2482,0.0096
7,0.80,0.9839,0.1829,825.2871,0.0096
8,0.80,0.9839,0.1829,825.2871,0.0096
9,0.80,0.9839,0.1829,825.2871,0.0096
10,0.80,0.9839,0.1829,825.2871,0.0096
11,0.80,0.9839,0.1829,825.2871,0.0096
12,0.80,0.9839,0.1829,825.2871,0.0096
13,0.80,0.9839,0.1829,825.2871,0.0096
14,0.80,0.9839,0.1829,825.2871,0.0096
15,0.80,0.9839,0.1829,825.2871,0.0096
16,0.80,0.9839,0.1829,825.2871,0.0096
17,0.80,0.9839,0.1829,825.2871,0.0096
18,0.80,0.9839,0.1829,825.2871,0.0096
19,0.80,0.9839,0.1829,825.2871,0.0096
20,0.80,0.9839,0.1829,825.2871,0.0096
21,0.80,0.9827,0.1873,827.5574,0.0060
22,0.80,0.9792,0.2063,820.7212,-0.0006
23,0.80,0.9792,0.2058,817.5545,0.0081
24,0.80,0.9851,0.1745,832.4872,0.0158
25,0.80,0.9843,0.1799,838.9702,0.0340
26,0.80,0.9871,0.1614,828.6664,0.0172
27,0.80,0.9878,0.1570,816.5232,-0.0032
28,0.80,0.9861,0.1685,818.9030,0.0270
29,0.80,0.9848,0.1755,820.0790,-0.0155
